name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Eurasian Wigeon,Lake/Pond,Plants,Ground,Dabbler,Least Concern,42-52,52,,,500-950,725.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Clark's Grebe,Marsh,Fish,Floating,Surface Dive,Least Concern,55-75,75, 81-82,82,718-1685,1201.5,,,,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Green-winged Teal,Marsh,Seeds,Ground,Dabbler,Least Concern,31-39,39, 52-59,59,140-500,320.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Gadwall,Marsh,Plants,Ground,Dabbler,Least Concern,46-57,57, 84, 84,500-1250,875.0,7-12,7,12, 1 , 1 ,4.9-6,6,3.4-4.4,4.4,24-27,27,24,1-2,1,2, ANSERIFORMES, ANATIDAE
Blue-winged Teal,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,36-41,41, 56-62,62,230-545,387.5,6-14,6,14, 1 , 1 ,3.8-5.2,5.2,2.9-3.7,3.7,19-29,29,19,40,40,40, ANSERIFORMES, ANATIDAE
Fulvous Whistling-Duck,Marsh,Plants,Ground,Dabbler,Least Concern,44-51,51,,,595-964,779.5,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Gallinule,Marsh,Plants,Floating,Dabbler,Least Concern,32-35,35, 54-62,62,310-456,383.0,3-15,3,15,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Horned Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,31-38,38, 55-64,64,300-570,435.0,3-8,3,8,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Bufflehead,Lake/Pond,Insects,Cavity,Surface Dive,Least Concern,32-40,40, 55, 55,272-635,453.5,4-17,4,17,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Barrow's Goldeneye,Lake/Pond,Insects,Cavity,Surface Dive,Least Concern,43-48,48,,,480-1320,900.0,1-28,1,28,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Black-bellied Whistling-Duck,Marsh,Plants,Cavity,Dabbler,Least Concern,47-51,51,,,652-1020,836.0,9-18,9,18, 1-2 ,2 ,4.5-6.2,6.2,3-4.2,4.2,25-30,30,25,10-13,10,13, ANSERIFORMES, ANATIDAE
Common Murre,Ocean,Fish,Cliff,Surface Dive,Least Concern,38-43,43, 64-71,71,800-1125,962.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Horned Puffin,Ocean,Fish,Cliff,Surface Dive,Least Concern,38,38,,,483-648,565.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Eared Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,30-35,35, 52-55,55,200-735,467.5,1-8,1,8,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
American Black Duck,Lake/Pond,Insects,Ground,Dabbler,Least Concern,54-59,59, 88-95,95,720-1640,1180.0,6-14,6,14, 1 , 1 ,5.5-6.4,6.4,4.1-4.5,4.5,23-33,33,23,1,1,1, ANSERIFORMES, ANATIDAE
Greater Scaup,Lake/Pond,Insects,Ground,Surface Dive,Least Concern,39-56,56, 72-79,79,726-1360,1043.0,5-13,5,13,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
American Wigeon,Lake/Pond,Plants,Ground,Dabbler,Least Concern,42-59,59, 84, 84,540-1330,935.0,3-13,3,13,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Brant,Marsh,Plants,Ground,Dabbler,Least Concern,56-66,66,,,1200-1800,1500.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Goldeneye,Lake/Pond,Insects,Cavity,Surface Dive,Least Concern,40-51,51, 77-83,83,600-1300,950.0,5-16,5,16,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Ancient Murrelet,Ocean,Fish,Burrow,Surface Dive,Least Concern,20-24,24, 45-46,46,153-250,201.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Canada Goose,Marsh,Seeds,Ground,Ground Forager,Least Concern,76-110,110, 127-170,170,3000-9000,6000.0,2-8,2,8, 1 , 1 ,8.3,8.3,5.6,5.6,25-28,28,25,42-50,42,50, ANSERIFORMES, ANATIDAE
Common Eider,Ocean,Insects,Ground,Surface Dive,Least Concern,50-71,71,,,1180-3040,2110.0,1-14,1,14,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Hooded Merganser,Lake/Pond,Fish,Cavity,Surface Dive,Least Concern,40-49,49, 60-66,66,453-879,666.0,5-13,5,13, 1 , 1 ,4.3-6.2,6.2,3.9-5.4,5.4,26-41,41,26,1,1,1, ANSERIFORMES, ANATIDAE
Canvasback,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,48-56,56, 79-89,89,862-1588,1225.0,5-11,5,11,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Greater White-fronted Goose,Lake/Pond,Plants,Ground,Dabbler,Least Concern,64-81,81, 135, 135,1951-3311,2631.0,1-8,1,8,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Dovekie,Ocean,Insects,Cliff,Surface Dive,Least Concern,19-23,23, 38, 38,134-204,169.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Atlantic Puffin,Ocean,Fish,Burrow,Surface Dive,Least Concern,,,,,,,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
American White Pelican,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,127-165,165, 244-290,290,4500-9000,6750.0,2,2,2, 1 , 1 ,8.3-9.5,9.5,5.2-5.5,5.5,30,30,30,63-70,63,70, PELECANIFORMES, PELECANIDAE
Harris's Hawk,Scrub,Mammals,Tree,Soaring,Least Concern,46-59,59, 103-124,124,515-1630,1072.5,,,,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Gyrfalcon,Mountains,Birds,Cliff,Aerial Dive,Least Concern,48-64,64, 123, 123,800-2100,1450.0,1-5,1,5,,,,,,,,,,,,, FALCONIFORMES, FALCONIDAE
Crested Caracara,Deserts,Small Animals,Tree,Soaring,Least Concern,49-58,58, 120, 120,1050-1300,1175.0,1-4,1,4,,,,,,,,,,,,, FALCONIFORMES, FALCONIDAE
Ferruginous Hawk,Grassland,Mammals,Tree,Soaring,Least Concern,56-69,69, 133-142,142,977-2074,1525.5,1-8,1,8,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Black Vulture,Open Woodland,Carrion,Cliff,Soaring,Least Concern,60-68,68, 137-150,150,1600-2200,1900.0,1-3,1,3, 1 , 1 ,6.6-9,9,4.5-5.6,5.6,38-39,39,38,70-98,70,98, ACCIPITRIFORMES, CATHARTIDAE
Gray Hawk,River/Stream,Small Animals,Tree,Soaring,Least Concern,,,,,,,1-4,1,4, 1 , 1 ,4.5-5.7,5.7,3.5-4.2,4.2,32-34,34,32,42,42,42, ACCIPITRIFORMES, ACCIPITRIDAE
American Kestrel,Open Woodland,Insects,Cavity,Soaring,Least Concern,22-31,31, 51-61,61,80-165,122.5,4-5,4,5, 1-2 ,2 ,3-3.8,3.8,2.4-2.8,2.8,26-32,32,26,28-31,28,31, FALCONIFORMES, FALCONIDAE
Bald Eagle,Forest,Fish,Tree,Soaring,Least Concern,71-96,96, 204, 204,3000-6300,4650.0,1-3,1,3, 1 , 1 ,5.8-8.4,8.4,4.7-6.3,6.3,34-36,36,34,56-98,56,98, ACCIPITRIFORMES, ACCIPITRIDAE
California Condor,Mountains,Carrion,Cliff,Soaring,Critically Endangered,117-134,134, 277, 277,7000-9900,8450.0,1,1,1, 1 , 1 ,9.2-12,12,6.2-6.8,6.8,53-60,60,53,163-180,163,180, ACCIPITRIFORMES, CATHARTIDAE
Golden Eagle,Grassland,Mammals,Cliff,Soaring,Least Concern,70-84,84, 185-220,220,3000-6125,4562.5,1-3,1,3, 1 , 1 ,6.8-8.6,8.6,4.9-6.4,6.4,41-45,45,41,45-81,45,81, ACCIPITRIFORMES, ACCIPITRIDAE
Broad-winged Hawk,Forest,Mammals,Tree,Aerial Dive,Least Concern,34-44,44, 81-100,100,265-560,412.5,1-5,1,5, 1 , 1 ,4.6-5.5,5.5,3.7-4.2,4.2,28-31,31,28,35-42,35,42, ACCIPITRIFORMES, ACCIPITRIDAE
Cooper's Hawk,Forest,Birds,Tree,Aerial Forager,Least Concern,37-39,39, 42-45,45,220-410 ,315.0,2-6,2,6, 1 , 1 ,4.4-5.1,5.1,3.5-4,4,30-36,36,30,27-34,27,34, ACCIPITRIFORMES, ACCIPITRIDAE
Common Pauraque,Open Woodland,Insects,Ground,Aerial Forager,Least Concern,28-30,30,,,53,53,,,,,,,,,,,,,,,, CAPRIMULGIFORMES, CAPRIMULGIDAE
Boreal Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,21-28,28, 55-62,62,93-215,154.0,1-19,1,19,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Eastern Screech-Owl,Forest,Insects,Cavity,Stalking,Least Concern,16-25,25, 48-61,61,121-244,182.5,2-6,2,6, 1 , 1 ,3.4-3.6,3.6,2.9-3,3,27-34,34,27,26-30,26,30, STRIGIFORMES, STRIGIDAE
Eastern Whip-poor-will,Open Woodland,Insects,Ground,Aerial Forager,Least Concern,22-26,26, 45-48,48,43-64,53.5,2,2,2, 1-2 ,2 ,2.7-3.2,3.2,2-2.2,2.2,19-21,21,19,3-8,3,8, CAPRIMULGIFORMES, CAPRIMULGIDAE
Burrowing Owl,Grassland,Insects,Burrow,Aerial Dive,Least Concern,19-25,25, 55, 55,150,150,2-12,2,12,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Flammulated Owl,Forest,Insects,Cavity,Flycatching,Least Concern,15-17,17, 41, 41,45-63,54.0,2-4,2,4,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Barn Owl,Grassland,Mammals,Building,Aerial Dive,Least Concern,32-40,40, 100-125,125,400-700,550.0,2-18,2,18, 1-3 ,3 ,3.9-4.4,4.4,3.1-3.4,3.4,29-34,34,29,50-55,50,55, STRIGIFORMES, TYTONIDAE
Common Nighthawk,Grassland,Insects,Ground,Aerial Forager,Least Concern,22-24,24, 53-57,57,65-98,81.5,2,2,2, 1-2 ,2 ,3,3,2.1,2.1,16-20,20,16,17-18,17,18, CAPRIMULGIFORMES, CAPRIMULGIDAE
Common Poorwill,Scrub,Insects,Ground,Aerial Forager,Least Concern,19-21,21,,,36-55,45.5,,,,,,,,,,,,,,,, CAPRIMULGIFORMES, CAPRIMULGIDAE
Barred Owl,Forest,Mammals,Tree,Ground Forager,Least Concern,43-50,50, 99-110,110,470-1050,760.0,1-5,1,5, 1 , 1 ,4.3-5.6,5.6,3.8-4.5,4.5,28-33,33,28,28-35,28,35, STRIGIFORMES, STRIGIDAE
Great Horned Owl,Open Woodland,Mammals,Tree,Aerial Dive,Least Concern,46-63,63, 101-145,145,910-2500,1705.0,1-4,1,4, 1 , 1 ,5.3-5.6,5.6,4.5-4.7,4.7,30-37,37,30,42,42,42, STRIGIFORMES, STRIGIDAE
Chuck-will's-widow,Open Woodland,Insects,Ground,Aerial Forager,Least Concern,28-32,32, 58-61,61,66-188,127.0,1-4,1,4, 1 , 1 ,3.3-4,4,2.3-2.8,2.8,20-21,21,20,16-17,16,17, CAPRIMULGIFORMES, CAPRIMULGIDAE
Great Gray Owl,Forest,Mammals,Tree,Aerial Dive,Least Concern,61-84,84, 137-153,153,700-1700,1200.0,,,,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Boreal Chickadee,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-14,14,,,7-12,9.5,,,,,,,,,,,,,,,, PASSERIFORMES, PARIDAE
Golden-crowned Kinglet,Forest,Insects,Tree,Foliage Gleaner,Least Concern,8-11,11, 14-18,18,4-8,6.0,3-11,3,11, 1-2 ,2 ,1.2-1.5,1.5,0.7-1.1,1.1,15,15,15,16-19,16,19, PASSERIFORMES, REGULIDAE
Bridled Titmouse,Forest,Insects,Tree,Foliage Gleaner,Least Concern,10,10,,,10,10,4-8,4,8,,,,,,,,,,,,, PASSERIFORMES, PARIDAE
Chestnut-backed Chickadee,Forest,Insects,Cavity,Foliage Gleaner,Least Concern,10-12,12, 19, 19,7-12,9.5,1-11,1,11, 1-2 ,2 ,1.4-1.7,1.7,1.1-1.3,1.3,12-18,18,12,18-21,18,21, PASSERIFORMES, PARIDAE
Black-crested Titmouse,Forest,Insects,Cavity,Foliage Gleaner,Least Concern,15,15, 24, 24,26,26,4-9,4,9,,,,,,,,,,,,, PASSERIFORMES, PARIDAE
Carolina Chickadee,Forest,Omnivore,Cavity,Foliage Gleaner,Least Concern,10-12,12, 15-20,20,8-12,10.0,3-10,3,10, 1 , 1 ,1.5,1.5,1.1,1.1,12-15,15,12,16-19,16,19, PASSERIFORMES, PARIDAE
Bushtit,Scrub,Insects,Tree,Foliage Gleaner,Least Concern,7-8,8,,,4-6,5.0,4-10,4,10, 1-2 ,2 ,1.3-1.4,1.4,1,1,12-13,13,12,18,18,18, PASSERIFORMES, AEGITHALIDAE
Blue-gray Gnatcatcher,Forest,Insects,Tree,Foliage Gleaner,Least Concern,10-11,11, 16, 16,5-7,6.0,3-5,3,5, 1-2 ,2 ,1.3-1.6,1.6,1.1-1.2,1.2,11-15,15,11,10-15,10,15, PASSERIFORMES, POLIOPTILIDAE
Black-tailed Gnatcatcher,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 14-15,15,5.1-6,5.55,3-5,3,5, 1-2 ,2 ,12-15,15,10-12,12,14-15,15,14,9-15,9,15, PASSERIFORMES, POLIOPTILIDAE
Eastern Meadowlark,Grassland,Insects,Ground,Ground Forager,Least Concern,19-26,26, 35-40,40,90-150,120.0,2-7,2,7, 1-2 ,2 ,2.2-3.1,3.1,1.8-2.3,2.3,13-16,16,13,10-12,10,12, PASSERIFORMES, ICTERIDAE
Elegant Tern,Shore-line,Fish,Ground,Aerial Dive,Near Threatened,39-42,42, 107, 107,190-325,257.5,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
European Starling,Town,Insects,Cavity,Ground Forager,Least Concern,,,,,,,3-6,3,6, 1-2 ,2 ,2.7-3.2,3.2,1.9-2.3,2.3,12,12,12,21-23,21,23, PASSERIFORMES, STURNIDAE
Double-crested Cormorant,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,70-90,90, 114-123,123,1200-2500,1850.0,1-7,1,7, 1-2 ,2 ,5.6-7,7,3.5-4,4,25-28,28,25,21-28,21,28, SULIFORMES, PHALACROCORACIDAE
Dusky Grouse,Forest,Plants,Ground,Ground Forager,Least Concern,40-50,50,,,750-1300,1025.0,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Connecticut Warbler,Forest,Insects,Ground,Ground Forager,Least Concern,13-15,15, 22, 22,15,15,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Common Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,31-38,38, 75-80,80,93-200,146.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Crissal Thrasher,Scrub,Insects,Shrub,Ground Forager,Least Concern,30,30, 32, 32,53-70,61.5,1-4,1,4,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Canada Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,12-15,15, 17-22,22,9-13,11.0,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
California Thrasher,Scrub,Insects,Shrub,Ground Forager,Least Concern,32,32, 31, 31,78-93,85.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Cliff Swallow,Lake/Pond,Insects,Cliff,Aerial Forager,Least Concern,13,13, 28-30,30,19-34,26.5,1-6,1,6, 1-2 ,2 ,1.8-2.4,2.4,1.3-1.5,1.5,10-19,19,10,20-26,20,26, PASSERIFORMES, HIRUNDINIDAE
Cave Swallow,Grassland,Insects,Building,Aerial Forager,Least Concern,14,14,,,17-25,21.0,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Curve-billed Thrasher,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,27,27, 34, 34,85,85,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Chukar,Mountains,Seeds,Ground,Ground Forager,Least Concern,34-38,38,,,550-675,612.5,10-21,10,21,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Cassin's Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-14,14, 24, 24,13-18,15.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Common Yellowthroat,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 15-19,19,9-10,9.5,1-6,1,6, 1-2 ,2 ,1.5-2,2,1.2-1.5,1.5,12,12,12,12,12,12, PASSERIFORMES, PARULIDAE
Cape May Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 19-22,22,9-12,10.5,4-9,4,9,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
California Gull,Lake/Pond,Insects,Ground,Aerial Dive,Least Concern,47-54,54, 130, 130,430-1045,737.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
California Quail,Scrub,Seeds,Ground,Ground Forager,Least Concern,24-27,27, 32-37,37,140-230,185.0,12-16,12,16, 1-2 ,2 ,3.2,3.2,2.5,2.5,22-23,23,22,,,, GALLIFORMES, ODONTOPHORIDAE
Cerulean Warbler,Forest,Insects,Tree,Foliage Gleaner,Vulnerable,11,11, 20, 20,8-10,9.0,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Caspian Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,47-54,54, 120-135,135,530-782,656.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Common Grackle,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,28-34,34, 36-46,46,74-142,108.0,1-7,1,7, 1-2 ,2 ,2.5-3.3,3.3,1.9-2.3,2.3,11-15,15,11,10-17,10,17, PASSERIFORMES, ICTERIDAE
Chestnut-sided Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,10-11,11, 18-21,21,,,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Ivory Gull,Ocean,Fish,Ground,Aerial Dive,Near Threatened,40-43,43, 108-120,120,448-687,567.5,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Iceland Gull,Shore-line,Omnivore,Cliff,Aerial Dive,Least Concern,50-60,60, 115-137,137,820-1100,960.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Bronzed Cowbird,Town,Insects,Tree,Ground Forager,Least Concern,20,20, 33, 33,55-70,62.5,,,,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Blackpoll Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 21-23,23,12-13,12.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Black Guillemot,Ocean,Fish,Cliff,Surface Dive,Least Concern,30-32,32, 52-58,58,320-485,402.5,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Bonaparte's Gull,Lake/Pond,Insects,Tree,Dabbler,Least Concern,28-38,38, 76-80,80,180-225,202.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Bay-breasted Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 20-22,22,10-17,13.5,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Brewer's Blackbird,Town,Seeds,Shrub,Ground Forager,Least Concern,21-25,25, 20-22,22,60-86 ,73.0,3-7,3,7, 1-2 ,2 ,2.3-2.9,2.9,1.7-2,2,11-17,17,11,12-16,12,16, PASSERIFORMES, ICTERIDAE
Boat-tailed Grackle,Marsh,Omnivore,Tree,Ground Forager,Least Concern,26-37,37, 39-50,50,93-239,166.0,1-5,1,5, 1-2 ,2 ,2.7-3.8,3.8,1.9-2.4,2.4,13,13,13,13,13,13, PASSERIFORMES, ICTERIDAE
Bullock's Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,17-19,19, 31, 31,29-43,36.0,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Bicknell's Thrush,Forest,Insects,Shrub,Ground Forager,Vulnerable,16-17,17,,,26-30,28.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TURDIDAE
Bendire's Thrasher,Deserts,Insects,Shrub,Ground Forager,Vulnerable,23-25,25,,,60,60,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, MIMIDAE
Brown Pelican,Ocean,Fish,Tree,Aerial Dive,Least Concern,100-137,137, 200, 200,2000-5000,3500.0,2-4,2,4, 1 , 1 ,6.7-8.6,8.6,3.3-3.5,3.5,29-35,35,29,77-84,77,84, PELECANIFORMES, PELECANIDAE
Brown Booby,Ocean,Fish,Ground,Aerial Dive,Least Concern,64-85,85, 132-155,155,950-1800,1375.0,1-3,1,3,,,,,,,,,,,,, SULIFORMES, SULIDAE
Black-headed Gull,Lake/Pond,Omnivore,Ground,Ground Forager,Least Concern,34-37,37, 100-110,110,190-400,295.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Bell's Vireo,Scrub,Insects,Shrub,Foliage Gleaner,Near Threatened,11-12,12, 18, 18,7-10,8.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Blue-headed Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,13-15,15, 20-24,24,13-19,16.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Black Tern,Marsh,Insects,Floating,Aerial Dive,Least Concern,23-26,26, 57-60,60,50-60,55.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Bank Swallow,Lake/Pond,Insects,Burrow,Aerial Forager,Least Concern,12-14,14, 25-29,29,10-19,14.5,2-6,2,6, 1-2 ,2 ,1.5-1.9,1.9,1.1-1.4,1.4,13-16,16,13,18-24,18,24, PASSERIFORMES, HIRUNDINIDAE
Black-capped Vireo,Scrub,Insects,Tree,Foliage Gleaner,Vulnerable,11,11, 18, 18,8-10,9.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Black-and-white Warbler,Forest,Insects,Ground,Bark Forager,Least Concern,11-13,13, 18-22,22,8-15,11.5,4-6,4,6, 1-2 ,2 ,1.5-1.9,1.9,1.3-1.4,1.4,10-12,12,10,8-12,8,12, PASSERIFORMES, PARULIDAE
Black-whiskered Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,15-16,16,,,17-22,19.5,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Blue-footed Booby,Ocean,Fish,Ground,Aerial Dive,Least Concern,81,81, 158, 158,1500-2200,1850.0,1-3,1,3,,,,,,,,,,,,, SULIFORMES, SULIDAE
Black-throated Blue Warbler,Forest,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 17-20,20,8-12,10.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Bluethroat,Mountains,Insects,Ground,Ground Forager,Least Concern,14,14,,,15-22,18.5,5-7,5,7,,,,,,,,,,,,, PASSERIFORMES, MUSCICAPIDAE
Brown Thrasher,Scrub,Omnivore,Shrub,Ground Forager,Least Concern,23-30,30, 29-32,32,61-89,75.0,2-6,2,6, 1-2 ,2 ,2.6-2.7,2.7,1.9-2,2,10-14,14,10,9-13,9,13, PASSERIFORMES, MIMIDAE
Barn Swallow,Town,Insects,Building,Aerial Forager,Least Concern,15-19,19, 29-32,32,17-20,18.5,3-7,3,7, 1-2 ,2 ,1.6-2.1,2.1,1.2-1.5,1.5,12-17,17,12,15-27,15,27, PASSERIFORMES, HIRUNDINIDAE
Black Skimmer,Shore-line,Fish,Ground,Aerial Dive,Least Concern,40-50,50,,,212-447,329.5,4,4,4, 1 , 1 ,1.6-2,2,1.2-1.5,1.5,21-25,25,21,28-30,28,30, CHARADRIIFORMES, LARIDAE
Black-throated Green Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 17-20,20,7-11,9.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Black-throated Gray Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13,,,7-10,8.5,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Brandt's Cormorant,Ocean,Fish,Cliff,Surface Dive,Least Concern,70-79,79, 108, 108,1400-2700,2050.0,1-6,1,6,,,,,,,,,,,,, SULIFORMES, PHALACROCORACIDAE
Blue-winged Warbler,Open Woodland,Insects,Ground,Foliage Gleaner,Least Concern,11-12,12, 15, 15,,,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Blackburnian Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 20-21,21,9-13,11.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Brown-headed Cowbird,Grassland,Seeds,Tree,Ground Forager,Least Concern,19-22,22, 16-20,20,42-50 ,46.0,1-7,1,7,,,1.8-2.5,2.5,1.5-1.8,1.8,10-12,12,10,8-13,8,13, PASSERIFORMES, ICTERIDAE
Bobolink,Grassland,Insects,Ground,Ground Forager,Least Concern,15-21,21, 27, 27,29-56,42.5,3-7,3,7, 1-2 ,2 ,2-2.3,2.3,1.5-1.7,1.7,11-14,14,11,10-11,10,11, PASSERIFORMES, ICTERIDAE
Black-footed Albatross,Ocean,Fish,Ground,Dabbler,Vulnerable,64-74,74, 193-216,216,2200-4300,3250.0,1,1,1,,,,,,,,,,,,, PROCELLARIIFORMES, DIOMEDEIDAE
Black-legged Kittiwake,Ocean,Fish,Cliff,Dabbler,Least Concern,38-41,41, 94, 94,305-525,415.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Hooded Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,18-20,20,,,24,24,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Herring Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,56-66,66, 137-146,146,800-1250,1025.0,1-3,1,3, 1 , 1 ,6.5-7.6,7.6,4.8-5.3,5.3,31-32,32,31,45-50,45,50, CHARADRIIFORMES, LARIDAE
Hooded Warbler,Forest,Insects,Shrub,Foliage Gleaner,Least Concern,13,13,,,9-12,10.5,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Hermit Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 20, 20,9-13,11.0,4-5,4,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Hutton's Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,13-12,12,,,9-15,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Heermann's Gull,Shore-line,Fish,Ground,Aerial Dive,Near Threatened,46-53,53, 104-115,115,371-643,507.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
